service_id,date,exception_type
montague_wkd,20151015,1
montague_wkd,20151016,1
montague_wkd,20151019,1
montague_wkd,20151020,1
montague_wkd,20151021,1
montague_wkd,20151022,1
montague_wkd,20151023,1
montague_wkd,20151026,1
montague_wkd,20151027,1
montague_wkd,20151028,1
montague_wkd,20151029,1
montague_wkd,20151030,1
montague_wkd,20151102,1
montague_wkd,20151103,1
montague_wkd,20151104,1
montague_wkd,20151105,1
montague_wkd,20151106,1
montague_wkd,20151109,1
montague_wkd,20151110,1
montague_wkd,20151111,1
montague_wkd,20151112,1
montague_wkd,20151113,1
montague_wkd,20151116,1
montague_wkd,20151117,1
montague_wkd,20151118,1
montague_wkd,20151119,1
montague_wkd,20151120,1
montague_wkd,20151123,1
montague_wkd,20151124,1
montague_wkd,20151125,1
montague_wkd,20151126,1
montague_wkd,20151127,1
montague_wkd,20151130,1
montague_wkd,20151201,1
montague_wkd,20151202,1
montague_wkd,20151203,1
montague_wkd,20151204,1
montague_wkd,20151207,1
montague_wkd,20151208,1
montague_wkd,20151209,1
montague_wkd,20151210,1
montague_wkd,20151211,1
montague_wkd,20151214,1
montague_wkd,20151215,1
montague_wkd,20151216,1
montague_wkd,20151217,1
montague_wkd,20151218,1
montague_wkd,20151221,1
montague_wkd,20151222,1
montague_wkd,20151223,1
montague_wkd,20151224,1
montague_wkd,20151225,1
montague_wkd,20151228,1
montague_wkd,20151229,1
montague_wkd,20151230,1
